  frus1894app2/d257 1893-05-09 enclosure/from name='Blount' | head='No. 9. Mr. Blount to Mr. Gresham .' | chap=  d.Despatches | pocom=one James Henderson Blount | rule=[] ['chief:hawaii']
  frus1898/d897 1898-06-07 enclosure/to name='Hay' | head='Mr. Hay to Mr. Day .' | chap=Spain spain d.Despatches | pocom=one John Milton Hay | rule=[] ['chief:united-kingdom']
  frus1898/d739 1898-05-30 head/from name='Rockhill' | head='Mr. Rockhill to Mr. Day .' | chap=Spain spain d.Despatches | pocom=one William Woodville Rockhill | rule=[] ['chief:greece', 'chief:romania', 'chief:serbia']
  frus1872p2v2/d209 1872-05-30 enclosure/from name='Schenck' | head='No. 74. General Schenck to Mr. Fish .' | chap=  d.Despatches | pocom=one Robert Cumming Schenck | rule=[] ['chief:united-kingdom']
  frus1874/d807 1874-07-13 head/from name='Russell' | head='No. 804. Mr. Russell to Mr. Fish .' | chap=Spain. spain d.Despatches | pocom=one Thomas Russell | rule=[] ['chief:venezuela']
  frus1894/d357 1894-08-27 enclosure/to name='Willis' | head='Mr. Willis to Mr. Gresham .' | chap=  d.Despatches | pocom=one Albert Shelby Willis | rule=[] ['chief:hawaii']
  frus1894Nicaragua/d66 1894-07-05 enclosure/to name='Baker' | head='No. 66. Mr. Guzman to Mr. Gresham .' | chap=  notesFromFM | pocom=one Lewis Baker | rule=[] ['chief:costa-rica', 'chief:el-salvador', 'chief:nicaragua']
## B|1861-1899|one:CONTRADICTED-within-180d-of-hypothesised-post count=373
  frus1881/d575 1881-10-04 head/from name='Hurlbut' | head='No. 571. Mr. Hurlbut to Mr. Blaine .' | chap=Peru peru d.Despatches | pocom=one Stephen Augustus Hurlbut | rule=[] []
  frus1872p2v2/d18 1865-03-13 head/from name='Bigelow' | head='Mr. Bigelow , United States minister, to Mr. Seward , Secretary of State.' | chap=[199] *I.—France. france d.Despatches | pocom=one John Bigelow | rule=[] []
  frus1865p2/d353 1865-02-07 head/to name='Mr. Bigelow' | head='Mr. Seward to Mr. Bigelow' | chap=France. france d.Instructions,notesToFM | pocom=one John Bigelow | rule=[] []
  frus1895p2/d694 1895-12-19 enclosure/from name='Baldwin' | head='Mr. Terrell to Mr. Olney .' | chap=Turkey turkey d.Despatches | pocom=one William Woodward Baldwin | rule=[] []
  frus1887/d262 1887-12-01 enclosure/to name='Porter' | head='No. 262. Mr. Bayard to Mr. McLane .' | chap=France france d.Instructions,notesToFM | pocom=one James Davis Porter | rule=[] []
  frus1893/d581 1893-02-28 head/to name='Foster' | head='Mr. Thompson to Mr. Foster .' | chap=Turkey turkey d.Despatches | pocom=one John Watson Foster | rule=[] []
  frus1898/d1139 1898-10-13 head/to name='Day' | head='Mr. Finch to Mr. Day .' | chap=Uruguay uruguay d.Despatches | pocom=one William Rufus Day | rule=[] []
  frus1893/d300 1893-05-27 enclosure/from name='Coolidge' | head='Mr. Eustis to Mr. Gresham .' | chap=France france d.Despatches | pocom=one Thomas Jefferson Coolidge | rule=[] []
  frus1868p2/d402 1868-12-11 enclosure/from name='Rear-Admiral Davis' | head='Mr. McMahon to Mr. Seward .' | chap=Paraguay. paraguay d.Despatches | pocom=one John Chandler Bancroft Davis | rule=[] []
  frus1872p1/d100 1872-05-25 enclosure/from name='Hurlbut' | head='No. 100. Mr. Hurlbut to Mr. Fish .' | chap=Colombia. colombia d.Despatches | pocom=one Stephen Augustus Hurlbut | rule=[] []
## B|1861-1899|one:corroborated(chief) count=21490
  frus1881/d158 1881-04-30 enclosure/to name='Angell' | head='No. 158. Mr. Angell to Mr. Blaine .' | chap=China china d.Despatches | pocom=one James Burrill Angell | rule=['James Burrill Angell'] 
  frus1875v01/d248 1875-04-26 head/from name='Davis' | head='No. 244. Mr. Davis to Mr. Fish .' | chap=Germany. germany d.Despatches | pocom=one John Chandler Bancroft Davis | rule=['John Chandler Bancroft Davis'] 
  frus1863p2/d577 1863-11-16 head/to name='Mr. Dayton.' | head='Mr. Seward to Mr. Dayton.' | chap=France. france d.Instructions,notesToFM | pocom=one William Lewis Dayton | rule=['William Lewis Dayton'] 
  frus1895p2/d519 1895-01-10 enclosure/to name='Terrell' | head='Mr. Terrell to Mr. Gresham .' | chap=Turkey turkey d.Despatches | pocom=one Alexander Watkins Terrell | rule=['Alexander Watkins Terrell'] 
  frus1885/d400 1885-02-11 head/to name='Bingham' | head='Mr. Frelinghuysen to Mr. Bingham .' | chap=Japan japan d.Instructions,notesToFM | pocom=one John Armour Bingham | rule=['John Armour Bingham'] 
  frus1891/d234 1891-11-16 head/from name='Egan' | head='Mr. Egan to Mr. Blaine .' | chap=Chile chile d.Despatches | pocom=one Patrick Egan | rule=['Patrick Egan'] 
  frus1889/d326 1888-12-03 head/from name='Straus' | head='Mr. Straus to Mr. Bayard .' | chap=Turkey turkey d.Despatches | pocom=one Oscar Solomon Straus | rule=['Oscar Solomon Straus'] 
