band	volume	last_two_path_titles	docs
1861-1899	frus1872p2v1	Additional documents, correspondence, and evidence accompanying counter case of the United States / [713] *Correspondence relative to the Monitors Catawba and Oneota, at New Orleans.	12
1861-1899	frus1872p1	Proclamations, etc.	10
1861-1899	frus1872p2v1	Case presented on the part of the government of Her Britannic Majesty to the tribunal of arbitration, constituted under Article 1 of the treaty concluded at Washington on the 8th May, 1871, between Her Britannic Majesty and the United States of America.	10
1861-1899	frus1872p2v2	The American commissioners and the statement of Sir Stafford Northcoteat Exeter, in relation to an alleged promise of exclusion of the indirect claims of the United State. / Sir Stafford Northcote’s declaration.	10
1861-1899	frus1872p2v2	[517, 518] Additional memoranda touching neutrality laws and the execution thereof in countries other than the United States and Great Britain. / [586] *No. XII. — Brazil.	10
1861-1899	frus1872p2v5	IV. Northwest American water boundary. Second and definitive statement on behalf of the government of Her Britannic Majesty, submitted to His Majesty the Emperor of Germany, under the Treaty of Washington of May 8, 1871. / *Appendix.[xxxiii]	10
1861-1899	frus1879	Circulars.	10
1861-1899	frus1894app1	VI. Affairs in the Samoan IslandsReprinted from Senate Ex. Doe. No. 93, 53d Cong., 2d sess.; Senate Ex. Doc. No. 132, 53d Cong., 2d sess., and Senate Ex. Doc. No. 97, 53d Cong., 3d sess. / Correspondence Between the Department of State and the United States Embassy at London.	10
1861-1899	frus1894app2	Message from the President of the United States, transmitting A treaty of annexation concluded on the 14th day of February, 1893, between the United States and the Provisional Government of the Hawaiian Islands. / List of accompanying documents.	10
1861-1899	frus1872p2v2	Remainder of papers accompanying the Counter Case of the United States / Case of the Meteor and Oriental.	8
1861-1899	frus1865p4	Hanseatic Republics	7
1861-1899	frus1870	III. Correspondence in relation to the condition of the commercial relations between the United States and the Spanish American States and Brazil. / [Correspondence in relation to the condition of the commercial relations between the United States and the Spanish American States and Brazil.]	7
1861-1899	frus1873p2v3	Confidential memorandum for the use of the commissioners on the part of the United States in the American-British Joint High Commission, Washington, 1871. / VII.–Claims of British subjects against the United States for losses and injuries “arising out of acts committed during the recent civil war in the United States.”	7
1861-1899	frus1888p2	Circulars	7
1861-1899	frus1864p1	Further correspondence respecting the enlistment of British seamen at Queenstown on board the United States ship-of-war Kearsarge.	6
1861-1899	frus1864p3	Correspondence. / Correspondence with the Netherlands legation in the United States.	6
1861-1899	frus1872p2v1	The case of the United States, laid before the tribunal of arbitration, convened at Geneva, under the provisions of the treaty between the United States of America and her Majesty the Queen of Great Britain, concluded at Washington, May 8, 1871.	6
1861-1899	frus1872p2v2	Instructions to the agent and counsel, and proceedings at Geneva in December, 1871, and April, 1872. / Instructions.	6
1861-1899	frus1894app2	Message from the President of the United States, submitting Dispatches and accompanying documents from the United States minister at Hawaii, relative to the lease to Great Britain of an island as a station for a submarine telegraph cable. / List of papers.	6
1861-1899	frus1863p2	Selections from consular correspondence. / Hanseatic and free cities.	5
1861-1899	frus1871	Circulars	5
1861-1899	frus1872p2v1	Additional documents, correspondence, and evidence accompanying counter case of the United States / [737] *Correspondence relative to the Florida, at Philadelphia.	5
1861-1899	frus1872p2v2	Remainder of papers accompanying the Counter Case of the United States / [625] *Memoranda as to the Miranda expedition.	5
1861-1899	frus1878	Circulars.	5
1861-1899	frus1880	Circulars	5
1861-1899	frus1894app1	VI. Affairs in the Samoan IslandsReprinted from Senate Ex. Doe. No. 93, 53d Cong., 2d sess.; Senate Ex. Doc. No. 132, 53d Cong., 2d sess., and Senate Ex. Doc. No. 97, 53d Cong., 3d sess. / Correspondence Between the Department of State and the British Embassy.	5
1861-1899	frus1894app2	House Ex. Doc. No. 282, Fifty-third Congress, third session / Message from the President of the United States, in response to House resolution of February 1, 1895, calling for certain information touching the recent insurrection in the Hawaiian Islands.	5
1861-1899	frus1894app2	List of statements and interviews. / Part III–Interviews and Statements.	5
1861-1899	frus1894app2	Senate Ex. Doc. No. 46, Fifty-third Congress, second session / Message from the President of the United States in answer to the Senate resolution of February 16, 1894, and transmitting copies of additional dispatches, and exhibits thereto, relating to Hawaii.	5
1861-1899	frus1872p2v3	I. Argument of the United States, delivered to the tribunal of arbitration at Geneva, June 15, 1872. / Appendix.	4
1861-1899	frus1872p2v3	II. Argument or summary showing the points and referring to the evidence relied upon by the government of Her Britannic Majesty in answer to the claims of the United States: Presented to the tribunal of arbitration constituted under Article I of the treaty concluded at Washington on the 8th May, 1871, between Her Britannic Majesty and the United States of America.	4
1861-1899	frus1873p2v3	Confidential memorandum for the use of the commissioners on the part of the United States in the American-British Joint High Commission, Washington, 1871. / VI.—The claims of the United States against Great Britain on account of acts committed by rebel cruisers.	4
1861-1899	frus1877	Circulars.	4
1861-1899	frus1885	Congo	4
1861-1899	frus1894	Hawaiian Republic.The correspondence respecting affairs in Hawaii during 1894 will be found in the appendix to Foreign Relations, 1894. / Recognition of Hawaiian Republic	4
1861-1899	frus1894app2	House Ex. Doc. No. 79, Fifty-third Congress, second session / Message from the President of the United States, transmitting further correspondence relating to the Hawaiian Islands.	4
1861-1899	frus1894app2	List of Affidavits. / Part II—Affidavits.	4
1861-1899	frus1896	Greater Republic of Central America / Recognition of the political union of Honduras, Nicaragua, and SalvadorSee also under Honduras and Nicaragua.	4
1861-1899	frus1897	Correspondence with Germany / Temporary performance by consular board of duties of president of municipal board.	4
1861-1899	frus1897	Correspondence with Great Britain / Criminal jurisdiction over men-of-war’s men.	4
1861-1899	frus1861	Correspondence / Circular	3
1861-1899	frus1865p3	Barbary states. / Tunis.	3
1861-1899	frus1872p2v5	II. Case of the government of Her Britannic Majesty, submitted to the arbitration and award of His Majesty the Emperor of Germany, in accordance with Article XXXIV of the treaty between Great Britain and the United States of America, signed at Washington, May 8, 1871. / *Appendix.	3
1861-1899	frus1873p2v3	IV.–Instructions to the British commissioners, reprinted from Blue-Book, “North America, No. 3, (1871.)” / IV.—Instructions to Her Majesty’s High Commissioners.	3
1861-1899	frus1887	Circulars	3
1861-1899	frus1894app2	House Ex. Doc. No. 112, Fifty-third Congress, second session / Message from the President of the United States, transmitting further correspondence relating to the Hawaiian Islands.	3
1861-1899	frus1894app2	President’s message relating to the Hawaiian Islands. / Message.	3
1861-1899	frus1894app2	Senate Ex. Doc. No. 77, Fifty-third Congress, second session / Message from the President of the United States, transmitting Dispatches received from the minister at Honolulu since March 19, 1894.	3
1861-1899	frus1897	Greater Republic of Central America / The Transportation of Central American troops and munitions of war in American vessels	3
1861-1899	frus1864p2	Correspondence. / Appendix.	2
1861-1899	frus1865p4	Duchy of Baden	2
1861-1899	frus1865p4	Würtemberg	2
1861-1899	frus1870	II. Correspondence relating to the proposed international gold coinage. / [Correspondence relating to the proposed international gold coinage.]	2
1861-1899	frus1872p2v2	Remainder of papers accompanying the Counter Case of the United States / [697] *Additional evidence from Melbourne and Cape Town, submitted to the arbitrators on the 15th of December, 1871, but not included in the evidence then printed.	2
1861-1899	frus1872p2v5	IV. Northwest American water boundary. Second and definitive statement on behalf of the government of Her Britannic Majesty, submitted to His Majesty the Emperor of Germany, under the Treaty of Washington of May 8, 1871. / Historical Note.—1818 to 1846.1Referred to in the Statement, page 2, par. 3.	2
1861-1899	frus1873p2v3	I.—Correspondence between Mr. Fish and Sir Edward Thornton, preliminary to negotiations. / I.—Correspondence between Mr. Fish and Sir Edward Thornton relative to the formation of a high commission.	2
1861-1899	frus1873p2v3	V.—Protocols of conferences between the American and British commissioners, held at Washington, between February 27 and May 6, 1871. / V.—Protocols of conferences.	2
1861-1899	frus1877app	Circulars	2
1861-1899	frus1888p2	Supplement B: Papers relating to the treaty of extradition, signed June 25, 1886, by the plenipotentiaries of the United States and Great Britain / Papers relating to the treaty of extradition, signed June 25, 1880, by the plenipotentiaries of the United States and Great Britain.	2
1861-1899	frus1894app2	House Ex. Doc. No. 256, Fifty-third Congress, second session / Message from the President of the United States, transmitting Dispatches from the U. S. minister at Honolulu.	2
