band	volume	last_two_path_titles	docs
1900-1905	frus1902app2	Letter of the Mexican legation at Rome to the Holy See, dated April 6, 1840, and affidavit of the Most Reverend Patrick William Riordan.	2
1900-1905	frus1904	Correspondence.Circulars. / Designation of the diplomatic and consular service as “American” instead of “United States”	2
1900-1905	frus1904	Correspondence.Circulars. / Neutral commerce in articles conditionally contraband of war	2
1900-1905	frus1904	Correspondence.Circulars. / Proposal for a second Hague Conference	2
1900-1905	frus1905	CircularsCorrespondence / Foreign consular officers in the Isthmian Canal Zone	2
1900-1905	frus1901China	Message from the president of the United States, transmitting report of William W. Rockhill, late commissioner to China, with acccompanying documents.	1
1900-1905	frus1902	Circulars / Cessation of military occupation of Cuba by the United States.	1
1900-1905	frus1902	Circulars / Charge of diplomatic mission in the absence of its head: Construction of article 19 of Instructions to Diplomatic Officers.	1
1900-1905	frus1902	Circulars / Charges against diplomatic and consular officers.	1
1900-1905	frus1902	Circulars / Passports to residents of insular possessions of the United States.	1
1900-1905	frus1902	Circulars / Passports—intent to return to the United States.	1
1900-1905	frus1902	Circulars / Protection of Cuban interests by United States consular officials.	1
1900-1905	frus1902app1	CASE II. / The “James Hamilton Lewis.”	1
1900-1905	frus1902app1	COUNTER MEMORANDUM. / FOURTH CASE.	1
1900-1905	frus1902app1	Rejoinder of the party claimant to the counter memorandum of the defendant party to the honorable arbitrator, Mr. T. M. C. Asser, Counsellor of State of the Kingdom of the Netherlands. / Rejoinder of the party claimant.	1
1900-1905	frus1902app1	Surrejoinder of the party defendant to the rejoinder of the party claimant to the counter memorandum of the Russian government presented to the honorable arbitrator, Mr. T. M. C. Asser, Counselor of State of the Netherlands. / CASE I.	1
1900-1905	frus1902app2	Argument for a rehearing.	1
1900-1905	frus1902app2	Argument for the defense before the honorable umpire.	1
1900-1905	frus1902app2	Deposition of the Most Reverend Patrick William Riordan, archbishop of San Francisco.	1
1900-1905	frus1902app2	Mexican call for discovery.	1
1900-1905	frus1902app2	PART III. Appendix to Record.	1
1900-1905	frus1902app2	PART III. Appendix to Record. / Appendix to Record.	1
1900-1905	frus1902app2	PART IV. Briefs Submitted to the Permanent Court of Arbitration on Behalf of the United States.	1
1900-1905	frus1902app2	PART V. Exhibits.	1
1900-1905	frus1902app2	PART V. Exhibits. / Powers of attorney from the bishops of Sacramento and Monterey to the archbishop of San Francisco.	1
1900-1905	frus1902app2	PART VI. Record of proceedings before the Permanent Court of Arbitration under The Hague Convention of 1899 in the matter of the Pious Fund of the Californias, from September 15, 1902, to October 14, 1902, including copy of the official minutes, or procès-verbaux, with index. / Record of proceedings.	1
1900-1905	frus1902app2	Supplemental affidavit of the Most Reverend Patrick William Riordan, archbishop of San Francisco.	1
1900-1905	frus1903	Front Matter / CorrespondenceCircular: Recognition of the Republic of Panama	1
1900-1905	frus1904	Correspondence.Circulars. / Neutrality of China in the war between Russia and Japan	1
1900-1905	frus1904	Correspondence.Circulars. / Opening of the Canal Zone of the Isthmus of Panama to commerce	1
1900-1905	frus1904	Correspondence.Circulars. / Pacific settlement of international disputes	1
1900-1905	frus1904	Correspondence.Circulars. / Protection of Panaman interests by consular officers of the United States	1
1900-1905	frus1905	CircularsCorrespondence / Appointment of Elihu Root as Secretary of State	1
1900-1905	frus1905	CircularsCorrespondence / Moroccan Conference	1
1900-1905	frus1905	CircularsCorrespondence / Neutrality of China in the war between Russia and Japan	1
1900-1905	frus1905	CircularsCorrespondence / Withdrawal of the American legation from Korea	1
