volume	volumeYear	docsInCache	docsInStructure	docsUnderCountryTitle	shareUnderCountryTitle	countryTitleCount	a	b	c	e	d	gate_year>=1906	gate_noDateline	gate_noYear	gate_noSectionPath
frus1902app1	1902	206	195	0	0.0	0	0	0	0	0	206	0	77	20	2
frus1902app2	1902	120	116	0	0.0	0	0	0	0	0	120	0	31	25	0
frus1903	1903	837	836	809	0.9677	31	705	0	26	11	95	0	22	5	0
frus1904	1904	954	949	906	0.9547	38	787	25	42	4	96	0	17	2	0
frus1905	1905	1143	1136	1053	0.9269	36	868	1	92	2	180	2	17	10	0
frus1906p1	1906	742	738	649	0.8794	16	53	3	4	0	682	661	14	3	0
frus1906p2	1906	615	612	552	0.902	24	18	0	1	0	596	567	12	4	0
frus1907p1	1907	472	469	459	0.9787	19	2	0	0	0	470	457	13	0	0
frus1907p2	1907	534	524	278	0.5305	23	4	0	1	0	529	495	30	4	0
frus1908	1908	758	757	655	0.8653	40	1	0	0	0	757	725	30	1	0
frus1911	1911	1089	1078	1066	0.9889	35	1	0	0	0	1088	969	110	8	0
frus1917	1917	1488	1478	1411	0.9547	28	89	1	0	0	1398	1346	37	7	0
frus1925v02	1925	615	610	554	0.9082	25	0	0	0	0	615	585	24	6	0
frus1929v01	1929	859	858	78	0.0909	17	0	0	0	0	859	825	28	6	0
