54D270	1063	RG-59
M88	697	RG-59
59D95	283	RG-59
64D560	248	RG-59
62D181	197	RG-59
93D188	151	RG-59
60D137	131	RG-59
64D559	131	RG-59
63D123	119	RG-59
96D262	98	RG-59
89D149	91	RG-59
90D397	86	RG-59
61D385	82	RG-59
54D291	70	RG-59
F96	70	RG-84
65D533	67	RG-59
65D366	61	RG-59
53D250	52	RG-59
57D284	48	RG-59
92D52	48	RG-59
55D36	43	RG-59
85D308	41	RG-59
61D282A	37	RG-59
92D630	36	RG-59
90D110	33	RG-59
52M45	30	RG-59
F73	30	RG-84
01D127	27	RG-59
84D204	26	RG-59
90D165	26	RG-59
79F80	25	RG-84
89D139	25	RG-59
03D256	22	RG-59
53A278	22	RG-59
54D5	22	RG-59
59F59	22	RG-84
F79	21	RG-84
89D378	19	RG-59
81D64	18	RG-59
93D490	18	RG-59
94D419	18	RG-59
55D338	17	RG-59
58D459	17	RG-59
94D430	17	RG-59
W130	17	RG-59
57M38	16	RG-59
58D609	16	RG-59
02D360	15	RG-59
W1444	15	RG-59
58D374	14	RG-59
70D149	14	RG-59
77F121	14	RG-84
85D193	14	RG-59
85D330	14	RG-59
57F103	13	RG-84
58F47	13	RG-84
82D85	13	RG-59
03D102	12	RG-59
06D436	12	RG-59
56D581	12	RG-59
95D23	12	RG-59
53D443	11	RG-59
65D238	11	RG-59
87D327	11	RG-59
93D393	11	RG-59
56D551	10	RG-59
57F72	10	RG-84
79D246	10	RG-59
85D105	10	RG-59
52M64	9	RG-59
54D190	9	RG-59
65D68	9	RG-59
65F115	9	RG-84
86D362	9	RG-59
90D99	9	RG-59
60D661	8	RG-59
79F186	8	RG-84
89D154	8	RG-59
89D155	8	RG-59
96D484	8	RG-59
122	7	RG-59
5226	7	RG-59
58F33	7	RG-84
77F114	7	RG-84
77F54	7	RG-84
80D135	7	RG-59
85F104	7	RG-84
89D137	7	RG-59
89D184	7	RG-59
93D187	7	RG-59
93D395	7	RG-59
W131	7	RG-59
428	6	RG-59
79F118	6	RG-84
79F187	6	RG-84
87D431	6	RG-59
89D156	6	RG-59
89D489	6	RG-59
94D411	6	RG-59
94D92	6	RG-59
95D334	6	RG-59
99D344	6	RG-59
484	5	RG-59
53D255	5	RG-59
55F74	5	RG-84
57D56	5	RG-59
58D545	5	RG-59
61D386	5	RG-59
62F30	5	RG-84
64D391	5	RG-59
64F64	5	RG-84
79F206	5	RG-84
81D5	5	RG-59
87D326	5	RG-59
90D438	5	RG-59
95D26	5	RG-59
96F335	5	RG-84
W13	5	RG-59
03D012	4	RG-59
12D215	4	RG-59
54D328	4	RG-59
54F57	4	RG-84
55F139BOX2	4	RG-84
56D324	4	RG-59
56D569	4	RG-59
58D243	4	RG-59
58D344	4	RG-59
58D749	4	RG-59
59D376	4	RG-59
59D518;ALPHAANDERSONTALKSW/BG&NASSER	4	RG-59
59F48	4	RG-84
64D149	4	RG-59
66D209	4	RG-59
69D277	4	RG-59
72F81	4	RG-84
77D51	4	RG-59
77D9	4	RG-59
78F160	4	RG-84
79F54	4	RG-84
80F170	4	RG-84
80F29	4	RG-84
81F1	4	RG-84
87D177	4	RG-59
87D258	4	RG-59
93D191	4	RG-59
95D025	4	RG-59
96D277	4	RG-59
98D419	4	RG-59
W745	4	RG-59
00D471	3	RG-59
05D259	3	RG-59
52D295	3	RG-59
52F2	3	RG-84
54D361	3	RG-59
55D375	3	RG-59
55D540	3	RG-59
56D412	3	RG-59
58D722	3	RG-59
58F57	3	RG-84
59D260	3	RG-59
60F16	3	RG-84
63D436	3	RG-59
64D204	3	RG-59
64D359	3	RG-59
66D502	3	RG-59
69D158	3	RG-59
71D504	3	RG-59
72D294	3	RG-59
73D353	3	RG-59
75D243	3	RG-59
78D297	3	RG-59
79F132	3	RG-84
79F134	3	RG-84
80F185	3	RG-84
84D147	3	RG-59
85D251	3	RG-59
86D157	3	RG-59
87D73	3	RG-59
89D136	3	RG-59
89D250	3	RG-59
89D265	3	RG-59
89D283	3	RG-59
89D56	3	RG-59
90D180	3	RG-59
90D234	3	RG-59
90D400	3	RG-59
92D228	3	RG-59
92D403	3	RG-59
92D622	3	RG-59
94D092	3	RG-59
94D433	3	RG-59
99D369	3	RG-59
FILE84D241	3	RG-59
00D469	2	RG-59
16D0355	2	RG-59
53D244	2	RG-59
53D255FILESOFTHESOUTHEASTASIAAIDPOLICYCOMMITTEE	2	RG-59
53D291	2	RG-59
53D417	2	RG-59
54D361E	2	RG-59
54D514	2	RG-59
55D339	2	RG-59
55D374	2	RG-59
55D413	2	RG-59
55D598	2	RG-59
55F125	2	RG-84
56F149	2	RG-84
57D108	2	RG-59
57D148	2	RG-59
57D177	2	RG-59
57D567	2	RG-59
57D649	2	RG-59
58C133	2	RG-59
