rank	docs	cumulative	share	hasNaId	repository	collection	authorityId
234	2	28665	99.7%		Ford Library	James E. Connor Files	txt:ford library|james e. connor file
235	2	28667	99.7%			W Files	txt:|w file
236	2	28669	99.7%		University of Montana Library	Mansfield Papers	txt:university of montana library|mansfield paper
237	2	28671	99.7%		Eisenhower Library	Eisenhower Diaries	txt:eisenhower library|eisenhower diarie
238	2	28673	99.7%		Reagan Library	George P. Shultz Papers	txt:reagan library|george p. shultz paper
239	2	28675	99.7%		Eisenhower Library	Disaster File Series	txt:eisenhower library|disaster file serie
240	2	28677	99.7%		Nixon	National Security Council Institutional Files	txt:nixon|national security council institutional file
241	2	28679	99.7%		Carter Library	National Security File	txt:carter library|national security file
242	2	28681	99.7%		Ford Library	F. Lynn May Files	txt:ford library|f. lynn may file
243	2	28683	99.7%		Johnson Library	Office Files of Bill Moyers	txt:johnson library|office files of bill moyer
244	2	28685	99.7%		Carter Library	Mondale Donated Material	txt:carter library|mondale donated material
245	2	28687	99.7%		Nixon	President’s Personal Files	txt:nixon|president’s personal file
246	2	28689	99.7%		National Archives	Office Files, 1966-1969	txt:national archives|office file
247	2	28691	99.8%		Reagan Library	Roger Fontaine Files	txt:reagan library|roger fontaine file
248	2	28693	99.8%		Reagan Library	Donald Tice Files	txt:reagan library|donald tice file
249	2	28695	99.8%		Reagan Library	Crisis Management Center	txt:reagan library|crisis management center
250	2	28697	99.8%		Eisenhower Library	C.D. Jackson Papers	txt:eisenhower library|c.d. jackson paper
251	2	28699	99.8%		Department of State	Robert Johnson Files	txt:department of state|robert johnson file
252	2	28701	99.8%		Ford Library	William Simon Papers	txt:ford library|william simon paper
253	2	28703	99.8%		Eisenhower Library	Special Staff Files, Box 4	txt:eisenhower library|special staff file
254	2	28705	99.8%		Department of State	Guhin Files	txt:department of state|guhin file
255	2	28707	99.8%		Eisenhower Library	Gordon Gray Papers	txt:eisenhower library|gordon gray paper
256	2	28709	99.8%		Department of Defense	Official Files, 9155.3 (22 Jan 1965), files for Vietnam	txt:department of defense|official file
257	1	28710	99.8%		Reagan Library	National Security Council	txt:reagan library|national security council
258	1	28711	99.8%		Ford Library	Bobbie Greene Kilberg Files	txt:ford library|bobbie greene kilberg file
259	1	28712	99.8%		Department of State	Sweet Files	txt:department of state|sweet file
260	1	28713	99.8%		Nixon	White House Staff Files	txt:nixon|white house staff file
261	1	28714	99.8%		Ford Library	Vice Presidential Papers	txt:ford library|vice presidential paper
262	1	28715	99.8%			George H.W. Bush Presidential Records	txt:|george h.w. bush presidential record
263	1	28716	99.8%		Hoover Institution	Lansdale Papers	txt:hoover institution|lansdale paper
264	1	28717	99.8%		Johnson Library	Papers of Anthony M. Solomon	txt:johnson library|papers of anthony m. solomon
265	1	28718	99.8%		Kennedy Library	White House Central Files	txt:kennedy library|white house central file
266	1	28719	99.9%		Johnson Library	Task Force Reports	txt:johnson library|task force report
267	1	28720	99.9%		Johnson Library	Special Files	txt:johnson library|special file
268	1	28721	99.9%		Carter Library	Records of Peter Bourne	txt:carter library|records of peter bourne
269	1	28722	99.9%		Department of State	Paul C. Warnke Papers, John McNaughton Files	txt:department of state|paul c. warnke paper
270	1	28723	99.9%		Eisenhower Library	NSC Staff Papers	txt:eisenhower library|nsc staff paper
271	1	28724	99.9%		Carter Library	Institutional Files	txt:carter library|institutional file
272	1	28725	99.9%		Department of State	Rodman Files	txt:department of state|rodman file
273	1	28726	99.9%		Library of Congress	James Schlesinger Papers	txt:library of congress|james schlesinger paper
274	1	28727	99.9%		Carter Library	Staff Material	txt:carter library|staff material
275	1	28728	99.9%		Kennedy Library	White House Central Subject Files	txt:kennedy library|white house central subject file
276	1	28729	99.9%		Carter Library	Carter Presidential Papers, Staff Secretary	txt:carter library|carter presidential paper
