creatorNaId,heading,authorityType,recordCount,recordGroupCount,recordGroups,creatorTypes
10448711,Department of State. Office of the Secretary. Executive Secretariat. (02/17/1947 - 1954),organization,35,2,59 353,Most Recent=33 Predecessor=2
10453064,Office for Emergency Management. Office of War Information. Domestic Operations Branch. Bureau of Motion Pictures. (06/13/1942 - 09/15/1945),organization,35,1,208,Most Recent=3 Predecessor=32
10453235,Office for Emergency Management. Office of War Information. Domestic Operations Branch. Bureau of Motion Pictures. Theatrical Division. (1943 - 09/15/1945),organization,35,1,208,Most Recent=35
10452775,U.S. Information Agency. (08/24/1982 - 10/01/1999),organization,35,2,59 306,Most Recent=33 Predecessor=2
10511725,Board of Foreign Scholarships. (1946 - 02/16/1990),organization,34,2,59 306,Author=1 Most Recent=32 Recipient=1
10448682,"Department of State. U.S. Embassy, Mexico. (ca. 12/08/1898 - )",organization,34,1,84,Compiler=8 Most Recent=26
10447057,Board of Economic Warfare. (12/17/1941 - 07/15/1943),organization,33,1,169,Most Recent=4 Predecessor=29
10467395,Commission Established by an Exchange of Notes between the United States and Great Britain. (1872 - 05/29/1876),organization,33,1,76,Most Recent=33
10477287,Foreign Operations Administration. Office of the Deputy Director for Operations. Office of Far Eastern Operations. (08/01/1953 - 06/30/1955),organization,32,1,469,Most Recent=16 Predecessor=16
10506651,Department of State. Bureau of European Affairs. (1949 - 09/15/1983),organization,31,1,59,Most Recent=21 Predecessor=10
10481865,Department of State. Bureau of Far Eastern Affairs. (10/03/1949 - 11/01/1966),organization,31,1,59,Collector=1 Most Recent=20 Predecessor=10
10470461,Department of State. Bureau of Public Affairs. (1949 - ),organization,31,2,59 306,Correspondent=1 Most Recent=27 Predecessor=3
10478427,"Department of State. U.S. Consulate, Shanghai, China. Commercial Section. (1923 - 04/25/1950)",organization,31,1,84,Most Recent=31
10510432,"Department of State. U.S. Embassy, Brazil. (03/16/1905 - )",organization,31,2,59 84,Most Recent=31
10476565,Intercontinental Railway Commission. (12/04/1890 - 04/1899),organization,31,1,43,Most Recent=31
10505176,Mutual Security Agency. Office of the Assistant Director for Supply. Industry Division. (ca. 09/1952 - 08/01/1953),organization,30,1,469,Most Recent=3 Predecessor=27
10448169,Office for Emergency Management. Office of Economic Warfare. (07/15/1943 - 09/25/1943),organization,30,1,169,Predecessor=30
10454384,Office for Emergency Management. Office of the Coordinator of Inter-American Affairs. Department of Transportation. (1942 - 1945),organization,30,1,229,Most Recent=8 Predecessor=22
10461913,Department of State. Bureau of European Affairs. Office of Eastern European Affairs. (1949 - 1982),organization,29,1,59,Most Recent=28 Predecessor=1
10460331,Department of State. Bureau of European Affairs. Office of European Regional Affairs. (1949 - 1962),organization,29,1,59,Most Recent=19 Predecessor=10
10481530,Department of State. Bureau of Intelligence and Research. (1957 - ),organization,29,1,59,Most Recent=27 Predecessor=2
10476942,Mutual Security Agency. (1951 - 08/01/1953),organization,29,3,286 420 469,Most Recent=2 Predecessor=27
10473061,Office for Emergency Management. Foreign Economic Administration. Office of the Budget and Administrative Planning. Records Analysis Division. Office of the Historian. (1943 - 1945),organization,29,1,169,Most Recent=26 Predecessor=3
10486365,Department of State. Bureau of African Affairs. (08/1958 - ),organization,28,1,59,Most Recent=27 Predecessor=1
10479669,Department of State. International Cooperation Administration. Office of the General Counsel. (06/30/1955 - 11/1961),organization,28,2,286 469,Most Recent=22 Predecessor=6
10488701,Department of State. U.S. Mission to the United Nations. (04/28/1947 - ),organization,28,1,84,Most Recent=28
10505344,Economic Cooperation Administration. Office of the Assistant Administrator for Supply. Industrial Commodities Division. (07/1951 - 11/1951),organization,28,1,469,Predecessor=28
10497660,U.S. Information Agency. Office of the Assistant Director for Far East and Pacific. (ca. 1967 - ca. 1978),organization,28,1,306,Most Recent=28
10476788,"Commission Established under Article V of the February 2, 1848, Treaty between the United States and Mexico. U.S. Section. (05/30/1848 - 09/30/1857)",organization,27,1,76,Most Recent=26 Originator=1
10483508,"Commission Established under Article V of the Treaty of December 24, 1814, between the United States and Great Britain. (09/04/1815 - 04/13/1822)",organization,27,1,76,Most Recent=24 Originator=3
10492204,Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for European Affairs. (ca. 1942 - ca. 1984),organization,27,1,59,Most Recent=26 Predecessor=1
10526731,"Department of State. U.S. Embassy, Great Britain. (06/22/1893 - )",organization,27,2,59 84,Most Recent=27
10464195,Interallied Railway Committee. (03/05/1919 - 10/25/1922),organization,27,1,43,Most Recent=27
10493406,Tacna-Arica Arbitration and Recruiting Plebiscite Commission. (ca. 04/1924 - 1926),organization,27,1,76,Most Recent=26 Predecessor=1
10447619,Department of State. Office of the Under Secretary of State. (07/01/1919 - 07/12/1972),organization,26,1,59,Correspondent=1 Most Recent=15 Predecessor=10
10454936,U.S. Delegation to the Conference on the Limitation of Armament. (1921 - 1922),organization,26,1,43,Most Recent=26
10460898,Court of Commissioners of Alabama Claims. (1882 - 12/31/1885),organization,25,1,76,Most Recent=22 Predecessor=3
10473193,Department of State. Bureau of Public Affairs. Office of the Historian. (1977 - ),organization,25,1,59,Most Recent=25
10479750,Department of State. International Cooperation Administration. Office of the Deputy Director for Operations. Office of Far Eastern Operations. (06/30/1955 - 11/03/1961),organization,25,2,286 469,Most Recent=24 Predecessor=1
10476860,Department of State. Office of the Assistant Secretary for Public Affairs. (09/17/1945 - ),organization,25,1,59,Most Recent=24 Predecessor=1
10460258,Department of State. Office of the Assistant Secretary for Public and Cultural Affairs. Office of International Information and Cultural Affairs. Office of the Director. (08/31/1945 - 08/15/1947),organization,25,1,208,Most Recent=25
10479502,Department of State. Office of the U.S. High Commissioner for Austria. (09/20/1950 - 07/27/1955),organization,25,1,84,Most Recent=25
10477311,Foreign Operations Administration. Executive Secretariat. (08/01/1953 - 06/30/1955),organization,25,1,469,Most Recent=13 Predecessor=12
10441864,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.). Commission.",organization,25,1,43,Most Recent=25
10512043,U.S. Information Agency. Office of the Director. Office of Public Information. (11/07/1956 - 03/27/1978),organization,25,1,306,Most Recent=25
10472266,United States and Mexico General Claims Commission. (09/08/1923 - 1941),organization,25,1,76,Most Recent=25
10484015,American Mexican Claims Commission. (1942 - 04/04/1947),organization,24,1,76,Most Recent=24
10527847,Department of State. Bureau of Security and Consular Affairs. (12/30/1954 - 08/17/1977),organization,24,2,59 84,Most Recent=24
10448886,Department of State. Executive Secretariat. (1954 - 1964),organization,24,1,59,Most Recent=22 Predecessor=2
10492836,Department of State. Foreign Aid Steering Group. (11/1950 - 10/12/1951),organization,24,2,59 353,Most Recent=24
10446971,Department of State. Office of the Secretary. Office of the Chief of Protocol. (1965 - ),organization,24,1,59,Most Recent=24
10476616,Department of State. Peace Corps. Office of the Director. (1961 - 1971),organization,24,1,490,Most Recent=24
10456158,"Department of State. U.S. Embassy, Federal Republic of Germany. (05/05/1955 - 10/03/1990)",organization,24,3,59 84 466,Most Recent=23 Predecessor=1
10479150,Economic Cooperation Administration. Far East Program Division. (1948 - 1951),organization,24,1,469,Most Recent=4 Predecessor=20
10478284,Mutual Security Agency. Executive Secretariat. (1951 - 08/01/1953),organization,24,1,469,Most Recent=6 Predecessor=18
10528317,U.S. Information Agency. Office of Research. (10/31/1973 - 04/01/1978),organization,24,1,306,Most Recent=14 Predecessor=10
10530181,Arms Control and Disarmament Agency. Office of the General Counsel. (ca. 1971 - ca. 1983),organization,23,1,383,Most Recent=23
10475266,Council of Foreign Ministers (6th : 1949 : Paris). (05/23/1949 - 06/20/1949),organization,23,1,43,Most Recent=23
10475443,Department of State. Office of the U.S. High Commissioner for Germany. Office of the Land Commissioner for Bremen. Field Operations Division. (09/21/1949 - 06/30/1952),organization,23,1,466,Most Recent=23
10477107,Foreign Operations Administration. (08/01/1953 - 06/30/1955),organization,23,3,286 420 469,Most Recent=10 Predecessor=13
10472624,French and American Claims Commission. (11/05/1880 - 03/31/1884),organization,23,1,76,Most Recent=23
10477285,Mutual Security Agency. Office of the Controller. (1951 - 08/01/1953),organization,23,1,469,Most Recent=7 Predecessor=16
10488181,Philippine War Damage Commission. Office of the Secretary. (06/03/1946 - 03/31/1951),organization,23,1,268,Most Recent=23
10474215,U.S. Board of Commissioners. (04/16/1849 - 04/15/1851),organization,23,1,76,Most Recent=23
10460897,Court of Commissioners of Alabama Claims. (1874 - 12/29/1876),organization,22,1,76,Most Recent=22
10474400,Department of State. Bureau of Economic and Business Affairs. (09/15/1972 - ),organization,22,1,59,Most Recent=22
10501638,Department of State. Bureau of International Organization Affairs. Office of International Economic and Social Affairs. (08/25/1954 - ca. 1970),organization,22,1,59,Most Recent=22
10482204,Department of State. Office of American Republic Affairs. (01/15/1944 - 06/1949),organization,22,3,43 59 229,Most Recent=20 Predecessor=2
